CompanyName,Address,Person,PhoneNumber,EmailAddress,Licenses
"Alliance Environmental Group, LLC","777 N Georgia Ave, Azusa, CA,91702",Craig Sawyer,626-633-3500,vendorpacket@alliance-enviro.com,"B (General Building Contractor), C-2(Insulation and Acoustical Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-21 (BuildingMoving/Demolition Contractor), C-22(Asbestos Abatement Contractor), HAZ(Hazardous Substance RemovalCertification), ASB (Asbestos Certification)"
Allison Brown Art,"33830 Arrastra Drive, Yucaipa,CA, 92399",Allison Brown,909-709-8683,cabcostudios@gmail.com,C-33 (Painting and Decorating Contractor)
"Amcon Construction, Inc.","6055 Toscana Loop, El DoradoHills, CA, 95762",Harvy Dhillon,916-204-8715,hdhillon@amcon-construction.com,"C-8 (Concrete Contractor), C-27(Landscaping Contractor)"
AMERICAN CONSTRUCTION COMPANY LLC dba ACC,"1130 N Kraemer Blvd # i,Anaheim , CA, 92806",Ben Hamed,714-844-2140,office@accandengineering.com,"B (General Building Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
"American Sports Construction, Inc.","1230 S. Jack Tone. Rd., Ripon,CA, 95366",Joshua Sarratt,209-923-4952,info@ascturf.com,C-61 (Limited Specialty)
Anchor Singh Painting Inc,"4761 pell Dr. Unit #4,Sacramento, CA, 95838Anchor Singh Painting",Singh,916-595-1837,anchorspainting@gmail.com,C-33 (Painting and Decorating Contractor)
Angus Asphalt Inc,"9959 Prospect Ave, Santee, CA,92071",Tina West,619-562-8201,twest@angusasphalt.com,"A (General Engineering Contractor), B(General Building Contractor), C-8(Concrete Contractor), C-12 (Earthwork andPaving Contractors), HAZ (HazardousSubstance Removal Certification)"
"APEX FIRE PROTECTION, INC.","2155 VERDUGO BLVD. #220,MONTROSE, CA, 91020",ZARE BABAYAN,818-957-3400,apexfireinc@yahoo.com,C-16 (Fire Protection Contractor)
"Apple Valley Communications, Inc.","21845 Highway 18, Apple Valley,CA, 92307",Jay Lovato,760-247-2668,estimating@avcsystems.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor)"
"Asphalt, Fabric & Engineering, Inc.","2683 Lime Avenue, Signal Hill,CA, 90755",Lorena Sandoval,562-997-4129,estimating@afesports.com,"A (General Engineering Contractor), B(General Building Contractor), C-27(Landscaping Contractor), C-61 (LimitedSpecialty), HAZ (Hazardous SubstanceRemoval Certification)"
ATLAS TREE SERVICE,"9032 OLIVE DRIVE, SPRINGVALLEY, CA, 91977",john hamilton,619-463-1707,john@atlastree.com,"C-61 (Limited Specialty), C-27 (LandscapingContractor)"
Audio Associates of San Diego dba Audio Associates,"1497 Jayken Way, Chula Vista,CA, 91911",Sundi Browne,619-461-9445,sbrowne@audioassociates.com,C-7 (Low Voltage Systems Contractor)
AVI-SPL,"10775 Business Center DriveSuite 150 , Cypress, CA, 90630",Jenifer  Andersen,951-693-5895,jenifer.andersen@avispl.com,C-7 (Low Voltage Systems Contractor)
AVI-SPL,"10775 Business Center DriveSuite 150 , Cypress, CA, 90630",Jenifer  Andersen,951-693-5895,jenifer.andersen@avispl.com,C-7 (Low Voltage Systems Contractor)
Avidex Industries LLC,"20382 Hermana Circle, LakeForest, CA, 92630",Ron Ponce,949-428-6333,biddesk@avidex.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor)"
BAKER ELECTRIC & RENEWABLES LLC dba BAKER ELECTRIC,"1298 Pacific Oaks Place,Escondido, CA, 92029Prequalification",Department,760-745-2001,prequal@baker-electric.com,"A (General Engineering Contractor), B(General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor), C-46 (SolarContractor)"
"Balance America, Inc.","1185 Linda Vista Drive, Suite B,San Marcos, CA, 92078",Koko Babayan,760-798-9255,dstever@balanceamericainc.com,C-61 (Limited Specialty)
Banning and Son,"6190 Fairmount Ave, Suite C,San Diego, CA, 92120",Bruce Banning,619-843-6469,salesandmarketing@banningandson.co,"mA (General Engineering Contractor), B(General Building Contractor), C-5 (Framingand Rough Carpentry Contractor), C-10(Electrical Contractor), C-21 (BuildingMoving/Demolition Contractor), C-33(Painting and Decorating Contractor), C-36(Plumbing Contractor), C-47 (ManufacturedHousing Contractor), C-54 (Ceramic andMosaic Tile Contractor), C-47(Manufactured Housing Contractor)"
"BARKSHIRE LASER LEVELING, INC","4007 Calle Mayo, San Clemente,CA, 92673",BILL BARKSHIRE,949-240-8779,barkshirelaser@gmail.com,C-27 (Landscaping Contractor)
Barnhart-Reese Construction Inc.,"10805 Thornmint Road, SanDiego, CA, 92127",Tamela Reese,858-592-6500,treese@debinc.com,"A (General Engineering Contractor), B(General Building Contractor)"
Bassios,"14335 settlers ridge ct,CORONA, CA, 92880",Said Bassyouni,951-429-9161,saiidbassio@gmail.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
"Bayview Environmental Services, Inc.","6925 San Leandro Street,Oakland, CA, 94621",Anabel Arrizon,510-562-6181,aarrizon@bayviewservices.com,"B (General Building Contractor), ASB(Asbestos Certification), C-21 (BuildingMoving/Demolition Contractor), HAZ(Hazardous Substance RemovalCertification), C-22 (Asbestos AbatementContractor)"
"Bear Electrical Solutions, LLC P.O Box 924, Alviso, CA, 95002",,Andrew Bader,408-449-5178,isabel@bear-electrical.com,"A (General Engineering Contractor), C-10(Electrical Contractor), C-31 (ConstructionZone Traffic Control Contractor), C-61(Limited Specialty)"
"BELFOR USA Group, Inc. dba BELFOR Property Restoration","9060 Activity Road, Suite A, SanDiego, CA, 92126",Shannon Hurley,858-847-9886,shannon.hurley@us.belfor.com,B (General Building Contractor)
Bens Asphalt Inc.,"2200 S Yale St, Santa Ana , CA,92704",Kayla Hunsucker,714-540-1700,kayla.hunsucker@bensasphalt.com,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors)"
"Best Contracting Services, Inc.","19027 S. Hamilton Avenue,Gardena, CA, 90248",Myris Guballa,310-328-6969,estimating@bestcontracting.com,"A (General Engineering Contractor), B(General Building Contractor), C-17 (GlazingContractor), C-39 (Roofing Contractor), C-43 (Sheet Metal Contractor)"
Blessedco Electric Inc,"37451 Rubyred Ln, Palmdale,CA, 93551",Christian Rodriguez,213-503-7432,chris@blessedcoelectric.com,C-10 (Electrical Contractor)
Bonita Pipeline Inc.,"140 N. Glover Ave, Chula Vista,CA, 91910",Jasmine Apostol,619-434-9801,jasmine@bonitapipeline.com,"A (General Engineering Contractor), B(General Building Contractor), C-34(Pipeline Contractor), C-36 (PlumbingContractor)"
Bowen Engineering and Environmental,"4664 S. Cedar Ave, Fresno, CA,93725",Erik Bowen,559-233-7464,office@bowendemo.com,"A (General Engineering Contractor), C-10(Electrical Contractor), C-21 (BuildingMoving/Demolition Contractor), C-22(Asbestos Abatement Contractor), HAZ(Hazardous Substance RemovalCertification), ASB (Asbestos Certification),B (General Building Contractor), C-39(Roofing Contractor), C-33 (Painting andDecorating Contractor), C-61 (LimitedSpecialty)"
Bradford Signs Non-Electrical,"2546 Helix St. Spring Valley, CA,91977",Matt Bradford,619-464-3510,mattbradford1@cox.net,C-61 (Limited Specialty)
Bradshaw Engineering Corporation,"8645 Argent Street, Suite B,Santee, CA, 92071",Jeremy Sosh,619-448-4300,jsosh@bradshaweng.com,C-16 (Fire Protection Contractor)
Brault Inc dba Electro Specialty Systems,"7940 Convoy Court, San Diego,CA, 92111",Daniel Brault,858-571-7746,christine@ess4.net,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor), C-28 (Lock andSecurity Equipment Contractor)"
Braun Electric Company,"3000 E Belle Terrace,Bakersfield, CA, 93307",Brenda Eakin,661-241-6306,bseakin@braunelec.com,"C-10 (Electrical Contractor), B (GeneralBuilding Contractor)"
"Bruce K. Hall Construction, Inc.","3849 N. Ann Avenue, Fresno,CA, 93727",Deanna Aguilar,559-252-2622,deanna@bkhconst.com,"B (General Building Contractor), C-9(Drywall Contractor)"
Budget Holdings Inc dba Solar Art,"23042 Mill Creek Drive, LagunaHills, CA, 92653",Contracts Team,949-825-7940,contracts@solarart.com,C-61 (Limited Specialty)
"C.E. Mechanical, Inc.","13327 Elliot Ave, Chino, CA,91710",Michael Martin,909-548-0925,bids@cemech.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
"C.E. Pickup Company, Inc dba Pacific Sound Control","2677 N. Main Street, Suite 230,Santa Ana, CA, 92705",Colette Dunwoody,714-892-6022,info@pacificsoundcontrol.com,"B (General Building Contractor), C-2(Insulation and Acoustical Contractor), C-61(Limited Specialty)"
Cacy Electric,"1269 Greenfield Drive, El Cajon,CA, 92021",Ryan Cacy,619-938-2839,zinav@cacyelectric.com,"C-10 (Electrical Contractor), B (GeneralBuilding Contractor), C-46 (SolarContractor), A (General EngineeringContractor)"
California Constructors,"7062 Convoy Court, San Diego,CA, 92111",Hau  Truong,858-335-4382,htruong@californiaconstructors.com,"B (General Building Contractor), C-6(Cabinet, Millwork and Finish CarpentryContractor), A (General EngineeringContractor)"
CALIFORNIA PAINT EXPERTS INC dba SAN DIEGO PAINT PROS,"7050 Convoy Rd, San Diego, CA,92111",Casey Ligrano,619-905-9204,estimating@sandiegopaintpros.com,C-33 (Painting and Decorating Contractor)
"California Waters Development Inc., dba California Waters","23311 E. La Palma Ave, YorbaLinda, CA, 92887",Leanne Harvey,949-528-0900,leads@californiawaters.com,"A (General Engineering Contractor), C-53(Swimming Pool Contractor), C-61 (LimitedSpecialty)"
Casco Contractors,"9850 IRVINE CENTER DRIVE,IRVINE, CA, 92618",Jessica Moeller,949-678-6880,jessica@cascocontractors.com,B (General Building Contractor)
"Castlerock Environmental, Inc.","10040 PAINTER AVE, SANTA FESPRINGS, CA, 90670",TIFFANY RABIOLA,562-941-9244,tiffany@castlerockenv.com,"A (General Engineering Contractor), B(General Building Contractor), C-2(Insulation and Acoustical Contractor), C-15(Flooring and Floor Covering Contractors),C-22 (Asbestos Abatement Contractor),HAZ (Hazardous Substance RemovalCertification), ASB (Asbestos Certification),C-21 (Building Moving/DemolitionContractor)"
CATS EXCAVATING INC,"1944 54TH STREET, SAN DIEGO,CA, 92105",nita groves,619-264-4125,catsexcavating@catsge.com,C-12 (Earthwork and Paving Contractors)
"Centex Glazing, Inc.","8260 Commercial Street, LaMesa, CA, 91942",Jack Wischmeyer,619-644-1981,admin@centexglazing.com,C-17 (Glazing Contractor)
Century Paving Incorporated,"14630 E Firestone Blvd., LaMirada, CA, 90638",Eddie  Imperial,714-522-2910,lori@paveit.com,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors), C-32(Parking and Highway ImprovementContractor), C-61 (Limited Specialty)"
Chambers Inc. dba Roof Construction,"1563 Sterling Ct, Escondido, CA,92029",Sunny Harrington,760-738-1050,sunny@roofconstruction.com,"C-39 (Roofing Contractor), B (GeneralBuilding Contractor)"
"Chapman Air Systems, Inc. dba WR Robbins Company","1927 Plaza Real, Oceanside, CA,92056",Roberta Chapman,760-842-8800,estimating@wrrobbins.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
Chromatic Vision Painting Corp,"11453 Poema Place, Unit 203,Chatsworth, CA, 91311",Stefanos Anastasiou,818-602-3576,chromaticvisionpainting@gmail.com,C-33 (Painting and Decorating Contractor)
"CIOE CONSTRUCTION, INC.","1288 Lost Arrow Pl, Chula Vista,CA, 91913",Robert Graham,619-592-9582,bgraham@cioeconstruction.com,"B (General Building Contractor), C-8(Concrete Contractor), C-13 (FencingContractor)"
"Climatec, LLC","13715 Stowe Dr., Poway, CA,92064",Stephany Belknap,858-391-7001,socalbiddesk@climatec.com,"C-10 (Electrical Contractor), C-20 (Warm-AirHeating, Ventilating and Air-ConditioningContractor), B (General BuildingContractor), C-7 (Low Voltage SystemsContractor)"
CMA PAINTING INC,"1510 VIRGINIA STREET,BERKELEY, CA, 94703",Marios Iakovou,415-240-2930,cmamarios@gmail.com,"B (General Building Contractor), C-33(Painting and Decorating Contractor)"
COLEMAN Construction LLC,"85 EAST HIGHWAY 20, UPPERLAKE, CA, 95485",TRAVIS COLEMAN,707-489-9599,travis@colemanconst.net,A (General Engineering Contractor)
COLOR NEW CO,"22855 CALIFA ST., WOODLANDHILLS, CA, 91367",LOUIS LOIZU,818-884-0856,colornewco@yahoo.com,"B (General Building Contractor), C-33(Painting and Decorating Contractor)"
Color New Corp,"22855 Califa St., Woodland Hills,CA, 91367",Louis Loizu,818-884-0856,colornewcorp@yahoo.com,"C-33 (Painting and Decorating Contractor),B (General Building Contractor)"
"Commercial & Industrial Roofing Co.,Inc","9239 Olive Drive, Spring Valley,CA, 91977",DeEtte Key,619-465-3737,dee@ciroofing.com,"C-39 (Roofing Contractor), ASB (AsbestosCertification)"
Communication Wiring Specialists Inc,"8909-F Complex Dr San Diego,Ca 92123",Eric Templin,858-278-4545,eric@cwssandiego.com,C-7 (Low Voltage Systems Contractor)
"Compactor Management Company, LLC.","32420 Central Avenue, UnionCity, CA, 94587",Zoe Mapa,510-623-2323,zmapa@compactormc.com,C-61 (Limited Specialty)
"Conan Construction, Inc.","2870 Whiptail Loop E Suite 225,Carlsbad, CA, 92010",Shannon Maurer,760-512-1188,smaurer@conanconstruction.com,"B (General Building Contractor), C-8(Concrete Contractor)"
Continental Marble and Tile Company,"2460 Anselmo Drive, Corona,CA, 92879",John McGee,951-284-1776,john@cmtc.us,C-54 (Ceramic and Mosaic Tile Contractor)
Contract Decor Inc.,"72-184 North Shore Street,Thousand Palms, CA, 92276",Penny Warstler,760-343-4444,cdi@contract-decor.com,C-61 (Limited Specialty)
Control Electric Inc.,"840 E Parkridge Ave, Suite 106,Corona, CA, 92879",Neil Fox,951-739-7399,nfox@controlelectric.net,"C-10 (Electrical Contractor), C-20 (Warm-AirHeating, Ventilating and Air-ConditioningContractor)"
Cooper Doors Inc,"4081 East La Palma Ave Ste. F,Anaheim, CA, 92807",Tammy Wozny,714-666-0888,tammy@cooperdoors.net,"C-61 (Limited Specialty), C-28 (Lock andSecurity Equipment Contractor)"
Cortum Communications Inc,"42066 Avenida Alvarado SuiteH, Temecula, CA, 92590",Michael Cortum,951-296-2199,schedule@cortum.biz,C-7 (Low Voltage Systems Contractor)
"Cosco Fire Protection, Inc. dba Cosco Fire Protection","4990 Greencraig Lane, SanDiego, CA, 92123",Timm Ryker,858-444-2000,tryker@coscofire.com,"C-16 (Fire Protection Contractor), B(General Building Contractor), C-10(Electrical Contractor)"
COSTA AZUL CONTRACTING GROUP,"2535 Kettner Blvd. Suite 2A1,San Diego, CA 92101",Jay Munoz,619-346-5388,jay@costaazulcg.com,"B (General Building Contractor), C-27(Landscaping Contractor), C-21 (BuildingMoving/Demolition Contractor), C-61(Limited Specialty)"
County Burner & Machinery Corporation,"4818 1/2 Ronson Ct., San Diego,CA, 92111",Matthew Gannon,619-282-7545,matt@countyburner.com,"C-4 (Boiler, Hot Water Heating and SteamFitting Contractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), C-61 (Limited Specialty)"
"Countywide Mechanical Systems, LLC","1400 N. Johnson Ave, Ste 114,El Cajon, CA, 92020",Taheerah Bagley,619-449-9900,prequal@countywidems.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-36 (PlumbingContractor)"
Couts Heating And Cooling,"1693 Rimapau Ave. Corona, CA92881",Rachel Martinez,951-278-5560,estimating@couts.com,"C-4 (Boiler, Hot Water Heating and SteamFitting Contractor), B (General BuildingContractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), C-36 (Plumbing Contractor), C-43 (Sheet Metal Contractor)"
Covello's Pacific AirCare Inc,"2890 Butterfield Rd, riverside,CA, 92503",Paul Covello,562-458-8575,paul@pachvac.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-61 (LimitedSpecialty)"
Covoc Corporation,"PO Box 4233 (office: 1194 EValencia Dr, Fullerton, CA92831), Fullerton, CA, 92834",Amy Annis,800-725-3266,amy.annis@covoc.com,C-61 (Limited Specialty)
Crown Fence Company,"12070 Telegraph Road, Suite340, Santa Fe Springs, CA,90670",Kellen Yurick,562-864-5177,kyurick@crownfence.com,C-13 (Fencing Contractor)
CTG Construction Inc. dba C T Georgiou Painting Co.,"433 Lecouvreur Ave. ,Wilmington, CA, 90744",Costas Georgiou,310-834-8015,mariab@ctgconstruction.net,"B (General Building Contractor), C-33(Painting and Decorating Contractor)"
"CWS Construction Group, Inc.","1301 Grant Ave, Suite B, Novato,CA, 94945",Charlie Slack,415-599-6545,charliejr.cws@gmail.com,"A (General Engineering Contractor), B(General Building Contractor)"
D.A.D. ASPHALT INC,"PO BOX 506, POWAY, CA, 92074",BRIAN DELHOTAL,858-748-8998,briandelhotal@yahoo.com,A (General Engineering Contractor)
"DAC SERVICE, INC. DBA FOUR C'S CONSTRUCTION","1560 H Street, Fresno, CA,95334",Linda Chavez,559-237-3990,linda@fourcsmetal.com,"B (General Building Contractor), C-39(Roofing Contractor), C-43 (Sheet MetalContractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), C-36 (Plumbing Contractor)"
DANNY LETNER INC. DBA LETNER ROOFING COMPANY,"1490 N. Glassell St., Orange CA92867",ALBERTO MATA,714-633-0030,amata@letner.com,"B (General Building Contractor), C-39(Roofing Contractor), C-43 (Sheet MetalContractor)"
"Danny Ryan Precision Contracting, Inc. dba ADEP Precision","Contracting16782 Millikan Avenue Irvine,CA. 92606-5010",Debbie Carrillo,949-642-6664,dcarrillo@adepprecision.com,"B (General Building Contractor), C-21(Building Moving/Demolition Contractor), C-22 (Asbestos Abatement Contractor), HAZ(Hazardous Substance RemovalCertification)"
Datel Systems Incorporated,"4393 VIEWRIDGE AVE SanDiego, Ca.  92123",HEIDI GROVES,858-571-3100,HEIDI@DATELSYS.COM,C-7 (Low Voltage Systems Contractor)
"Dave Bang Associates, Incorporated of California","PO Box 1088, Tustin, CA, 92781",Geralyn Freund,800-669-2585,geralyn@davebang.com,C-61 (Limited Specialty)
"DAVE WHIPPLE SHEET METAL, INC.","1077 N. Cuyamaca Street, ElCajon, CA, 92020",STACY RIGGS,619-562-6962,stacy@whipplesm.com,C-43 (Sheet Metal Contractor)
"David M. Bertino Manufacturing, Inc.","P.O. Box 1820, 1696 W. Mill St.,Colton, CA, 92335",Cindy Hutton,909-888-9122,cindy@davidmbertinomanufacturing.co,"mC-6 (Cabinet, Millwork and Finish CarpentryContractor)"
DECKING SYSTEMS INC,"15512 CRANBROOK AVE,LAWNDALE, CA, 90260",Melanie Reynolds,909-908-7675,deckingsystemsinc@gmail.com,"C-8 (Concrete Contractor), C-10 (ElectricalContractor), C-61 (Limited Specialty)"
Dempsey Construction,"1825 Aston Ave, Carlsbad, CA,92008",Wendy Hoier,858-353-1280,whoier@dempseyconstruction.com,B (General Building Contractor)
"Diamond Crete Concrete Coatings, Inc. dba Acevedo Builders","671 E Cooley Drive Suite 117,Colton, CA, 92324",Fidel Acevedo,951-602-5577,acevedo@diamondcreteinc.com,"B (General Building Contractor), C-15(Flooring and Floor Covering Contractors)"
"Diversified Thermal Services, LLC","1220 N Barsten Way, Anaheim,CA, 90260",Sarah Mendrin,714-632-7401,sarahm@dthermal.net,"B (General Building Contractor), C-10(Electrical Contractor), C-20 (Warm-AirHeating, Ventilating and Air-ConditioningContractor), C-38 (Refrigeration Contractor)"
Diversified Window Coverings,"7964 Arjons Dr, San Diego, CA,92126",Robyn Swift,858-536-9800,robyn@divwin.com,C-61 (Limited Specialty)
DLG Contractors Inc.,"10911 Wheatlands Ave.  Suite JSantee, CA 92071",Bryan Grant,619-456-2992,bryan.dlgcontractors@gmail.com,"A (General Engineering Contractor), B(General Building Contractor), C-61 (LimitedSpecialty), C-8 (Concrete Contractor), C-9(Drywall Contractor), C-33 (Painting andDecorating Contractor), C-10 (ElectricalContractor)"
DTW Construction Inc dba Sonshine Painting,"11596 Alborada Dr, San Diego,CA, 92127",Rich Ducote,858-598-7387,rich@sonshinepainting.com,"C-33 (Painting and Decorating Contractor),C-27 (Landscaping Contractor), B (GeneralBuilding Contractor)"
E&H General Contracting Inc.,"8402 N. Magnolia Ave Suite B,Santee, CA, 92071",Eddy  Espinoza,619-486-6553,office@ehgeneral.com,B (General Building Contractor)
Eagle Paving LLC,"13915 Danielson St. Suite 201,Poway, CA, 92064",Gregory  Beckner,858-486-6402,greg@eaglepaving.us,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors)"
EBSA Construction,"31 mandrake way, Irvine, CA,92612",Ebrahim Ashtiani,949-735-5033,info@ebsaconstruction.com,"B (General Building Contractor), C-36(Plumbing Contractor)"
EC Construction,"4230 Kimsue Way, San Diego,CA, 92154",Eladio Cardona,619-748-9241,ecardonaconsulting@gmail.com,A (General Engineering Contractor)
"Econo Fence, Inc.","5261 Pedley Rd., Jurupa Valley,CA, 92509",Amanda  Johnson,951-685-5000,ajohnson@econofenceinc.com,"B (General Building Contractor), C-13(Fencing Contractor)"
"EDWARDS CONSTRUCTION GROUP, INC.","991 Bennett Ave, Arroyo Grande,CA 93420",BRAD  EDWARDS,805-335-1161,be@edwardscongroup.com,"A (General Engineering Contractor), B(General Building Contractor)"
EIDIM Group Inc. dba EIDIM AV Technology,"1015 S. Placentia Ave. Fullerton,CA 92831",Aman Jain,562-777-1009,aman.jain@eidim.com,"B (General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor), C-33 (Painting andDecorating Contractor)"
"EKC Enterprises, Inc.","4658 E Weathermaker Ave,Fresno, CA, 93703",Greg Alavezos,559-438-0330,prequal@ekccorp.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor)"
Elite Window Coverings,"1261 Hoblitt Ave Suite 206,Clovis, CA, 93612",Ethan Schneider,559-470-9899,ethan@elitewindowcoverings.net,"B (General Building Contractor), C-61(Limited Specialty)"
"Elljay Acoustics, Inc.","9975 Toledo Way, Ste 100,Irvine, CA 92618",NARDA REYES,714-961-1173,narda.reyes@elljay.com,"C-2 (Insulation and Acoustical Contractor),C-9 (Drywall Contractor)"
EMH Construction LLC,"6790 Obsidian Place, Carlsbad,CA, 92002",Emily  Hawn,209-743-4203,ejh.emily@gmail.com,B (General Building Contractor)
"Empyrean Plumbing, Inc.","3404 Niki Way, Riverside, CA,92507",David Koralewski,951-776-4616,dave@empyreanplumbing.com,"B (General Building Contractor), C-2(Insulation and Acoustical Contractor), C-34(Pipeline Contractor), C-36 (PlumbingContractor)"
